n,m,d,p,Ridge R^2,Lasso R^2
1,0,8,8,0.9745661875833982,0.9740287228066798
1,0,9,9,0.9684484846467692,0.9678827067202095
1,1,0,1,0.9746207856909901,0.9738657649155631
1,1,1,2,0.9704498447885185,0.9699786936979089
1,1,2,3,0.968697398619501,0.9684252054297354
1,1,3,4,0.9763992425258785,0.9758521868119735
1,1,4,5,0.9771004518571789,0.9771322718949507
1,1,5,6,0.980680375397642,0.9803649297121177
1,1,6,7,0.983690448262295,0.9833998909640991
1,1,7,8,0.9826015646711751,0.9814663352871464
1,1,8,9,0.9753991922234103,0.9703763261688323
1,1,9,10,0.9695804414874152,0.9655542815505571
1,2,0,2,0.9704008915635464,0.9696220344526373
1,2,1,3,0.9770511328372589,0.9763558671332216
1,2,2,4,0.9724920091501259,0.9718691924286322
1,2,3,5,0.9759206486361117,0.9752717886174707
1,2,4,6,0.9837225573808794,0.9831098371866009
1,2,5,7,0.9845948447861174,0.9838819006020049
1,2,6,8,0.9834904064487398,0.9829518751804741
1,2,7,9,0.983903259491206,0.9791628690558222
1,2,8,10,0.975586752600694,0.9722509600963996
1,2,9,11,0.972681622720933,0.969592080551921
1,3,0,3,0.9747084679868225,0.9744435307920335
1,3,1,4,0.9720884933899262,0.9716316236913309
1,3,2,5,0.9775483027963962,0.976990460726048
1,3,3,6,0.9838867390413937,0.9830080358457279
1,3,4,7,0.982627465336088,0.9819860260383593
1,3,5,8,0.985356866997735,0.9842192263417222
1,3,6,9,0.9866513898369459,0.9830620842725107
1,3,7,10,0.9851816790229485,0.9830854411833373
1,3,8,11,0.9814460672504187,0.97549016113951
1,3,9,12,0.9707303424589897,0.9660596679386639
1,4,0,4,0.9719019312016136,0.9716327097067546
1,4,1,5,0.9762735802632089,0.9753567223473457
1,4,2,6,0.9868693374423723,0.9858062918753993
1,4,3,7,0.9836682603117183,0.9828927025848863
1,4,4,8,0.9836140662285733,0.9824825158531931
1,4,5,9,0.985671348184916,0.9824540156223588
1,4,6,10,0.9877759780662674,0.9850873450719267
1,4,7,11,0.9858506690477319,0.9828803643027153
1,4,8,12,0.9807421029427759,0.9763971471503179
1,4,9,13,0.9789423221175837,0.974853805432661
1,5,0,5,0.9770235387649879,0.9761623123135106
1,5,1,6,0.9857608719348148,0.9837493245086202
1,5,2,7,0.9850417259544336,0.9840055660483359
1,5,3,8,0.9802181420141133,0.9788990710128196
1,5,4,9,0.9878174981592156,0.9842790135277144
1,5,5,10,0.9884123274580079,0.9840586871800399
1,5,6,11,0.9904801528014741,0.9871616559670092
1,5,7,12,0.9892475299721488,0.9841066128250189
1,5,8,13,0.9821307289336618,0.9748549491046866
1,5,9,14,0.9709811448547971,0.9650431950606271
1,6,0,6,0.984680598692088,0.9823637129819323
1,6,1,7,0.9842687929364815,0.981820737738299
1,6,2,8,0.9840479932778335,0.982149943838705
1,6,3,9,0.9879070086116041,0.9826216744602244
1,6,4,10,0.9889556911891008,0.9856142551114678
1,6,5,11,0.9881677987377033,0.9835948688415508
1,6,6,12,0.9898606363291992,0.9862887694797955
1,6,7,13,0.9904698778983784,0.9851474562574148
1,6,8,14,0.9841642740623107,0.9795467908765979
1,6,9,15,0.9730037196698771,0.9683526473642986
1,7,0,7,0.9860921827980982,0.9839390716359051
1,7,1,8,0.9865917981931203,0.984409853344489
1,7,2,9,0.9882372506071692,0.9853063263299008
1,7,3,10,0.9887478655112678,0.9841328641818645
1,7,4,11,0.9883279370874606,0.9838821835283316
1,7,5,12,0.9896314590643293,0.9835194628319672
1,7,6,13,0.9917019868847345,0.9868769061226664
1,7,7,14,0.9909592986707279,0.9864867876681308
1,7,8,15,0.9809097599918468,0.9750266380912459
1,7,9,16,0.9771681780740304,0.9662484637923783
1,8,0,8,0.9853882148224173,0.9830069218431514
1,8,1,9,0.9887135793977115,0.9844246393494132
1,8,2,10,0.9893875845356425,0.9839610350750224
1,8,3,11,0.9876499655479978,0.9837345499970293
1,8,4,12,0.990958888178248,0.9858408055070293
1,8,5,13,0.9917802415836152,0.9857858689641055
1,8,6,14,0.9944566978111793,0.9894176244167334
1,8,7,15,0.9926992360703282,0.9878168014020198
1,8,8,16,0.9825716848361087,0.9769485026609154
1,8,9,17,0.9802787783148618,0.9703084698919436
1,9,0,9,0.9892043997546744,0.9853340455649733
1,9,1,10,0.9905606315415643,0.9860450195113664
1,9,2,11,0.9910159601058071,0.9865056135408091
1,9,3,12,0.9900602355464955,0.9853396752524133
1,9,4,13,0.9917977876621797,0.9848972959477819
1,9,5,14,0.9942768978241736,0.9903368644186646
1,9,6,15,0.9950267676439739,0.9918686425961758
1,9,7,16,0.9924042624269093,0.9880264589558275
1,9,8,17,0.9785118583633301,0.97220712473419
1,9,9,18,0.9772656630533219,0.9676734300771039
2,0,0,2,0.9850035682938488,0.9706546694081369
2,0,1,2,0.9868141145378853,0.9733402543069166
2,0,2,2,0.9851263711425905,0.9717516403627138
2,0,3,3,0.9848943131601593,0.9690034463161878
2,0,4,4,0.9839557621418318,0.9722773131663803
2,0,5,5,0.9878743168579461,0.9741367355515731
2,0,6,6,0.9893302614145034,0.9783091736707228
2,0,7,7,0.9857642477741084,0.9789889240142752
2,0,8,8,0.9863950657222887,0.9771102975314561
2,0,9,9,0.9868222478805213,0.9713824319155375
2,1,0,2,0.9865644288198064,0.971021655995645
2,1,1,2,0.9878220163809034,0.9746498301144954
2,1,2,3,0.9866607880101704,0.9742101777929559
2,1,3,4,0.9840932064674969,0.9693352589563086
2,1,4,5,0.9880651033285199,0.9768504442829803
2,1,5,6,0.9917437076570259,0.9836353281230481
2,1,6,7,0.9898740122040919,0.9809011564045206
2,1,7,8,0.9862931060020405,0.9795235667476597
2,1,8,9,0.9871064081815938,0.9737871943918149
2,1,9,10,0.984384242293037,0.9679749819481869
2,2,0,2,0.987844318893072,0.9740977682343918
2,2,1,3,0.9864442279867814,0.9734486820423487
2,2,2,4,0.9867007478898036,0.9727471526894801
2,2,3,5,0.9879437809268898,0.9750322563231657
2,2,4,6,0.990391706987669,0.9810406522529833
2,2,5,7,0.9913710373254578,0.9837209148107984
2,2,6,8,0.9924405051442866,0.9849809601202633
2,2,7,9,0.9892618561462909,0.9787367711847534
2,2,8,10,0.9875246601015826,0.9770026356555915
2,2,9,11,0.988438500622472,0.9692003792449746
2,3,0,3,0.9864239318548813,0.9707302632450634
2,3,1,4,0.9856201507803733,0.9704036112536145
2,3,2,5,0.9898560294020763,0.9785728994836993
2,3,3,6,0.9900748755522046,0.9815123591319554
2,3,4,7,0.989791730406595,0.9796156774985104
2,3,5,8,0.9926741445995872,0.9848155934750555
2,3,6,9,0.9930302531516614,0.9847901452017245
2,3,7,10,0.9878757831485705,0.9817090715662069
2,3,8,11,0.9862513160910897,0.9767210443189263
2,3,9,12,0.9864867516375485,0.9702766976702394
2,4,0,4,0.9887502228906032,0.9775325482268079
2,4,1,5,0.9873282210216697,0.9728013059203241
2,4,2,6,0.9923236677645587,0.9848918804644984
2,4,3,7,0.9918370066196022,0.985615046890243
2,4,4,8,0.9916738915913185,0.9805490059574623
2,4,5,9,0.9929080620075924,0.9815886937345684
2,4,6,10,0.9927331115597544,0.985636229521296
2,4,7,11,0.9911098042781321,0.9841282817833914
2,4,8,12,0.9878019024351691,0.9745566405781686
2,4,9,13,0.9890062654906545,0.9689206955393612
2,5,0,5,0.9897836973433595,0.9765072789768655
2,5,1,6,0.9919161560061144,0.984627716879994
2,5,2,7,0.9890835595282166,0.9811574494774659
2,5,3,8,0.9924272615791351,0.983010825304815
2,5,4,9,0.9932054931013763,0.9804988999539577
2,5,5,10,0.9931456535121741,0.986475835492527
2,5,6,11,0.9929546584739214,0.9838183671008606
2,5,7,12,0.9904688568770155,0.9832732184974539
2,5,8,13,0.9868244886714737,0.974100019478201
2,5,9,14,0.9868411791843518,0.968743375390641
2,6,0,6,0.9919221959663723,0.9830635110261399
2,6,1,7,0.9923754241873157,0.9849113241148812
2,6,2,8,0.9915943992429784,0.9824946962137854
2,6,3,9,0.9937342887421511,0.9842961973200592
2,6,4,10,0.9930173944752999,0.9835739056020978
2,6,5,11,0.9935169070788454,0.9855645027523458
2,6,6,12,0.9946923387345764,0.9834118004186351
2,6,7,13,0.9906143805437062,0.9840287649149733
2,6,8,14,0.9898650388501042,0.9783630611526842
2,6,9,15,0.9869500592031578,0.9654691565855326
2,7,0,7,0.9921105076111103,0.985081850779559
2,7,1,8,0.9919249403594083,0.9820869301254799
2,7,2,9,0.99313266627153,0.9820920097097158
2,7,3,10,0.9926638320871287,0.9835857494832384
2,7,4,11,0.993590770509217,0.9843716950419823
2,7,5,12,0.9954212773357141,0.9864993407406683
2,7,6,13,0.9959656395066214,0.9867044872144134
2,7,7,14,0.9932215936876714,0.9878640944731136
2,7,8,15,0.9882132902698517,0.9757847473647783
2,7,9,16,0.9885968805216976,0.9650108092252193
2,8,0,8,0.9910704707998034,0.9800178037068126
2,8,1,9,0.9935103025182279,0.9841678008065761
2,8,2,10,0.992408435631546,0.9837640528163021
2,8,3,11,0.9936196875431396,0.9833795769535805
2,8,4,12,0.9958279935944822,0.985361073623326
2,8,5,13,0.9956235397824232,0.9861734910070783
2,8,6,14,0.9960709628206988,0.9887346050253146
2,8,7,15,0.9920866396803267,0.9859234738606488
2,8,8,16,0.9913905808502076,0.9777573277175272
2,8,9,17,0.9904271674791219,0.9688174101104394
2,9,0,9,0.9934586698501439,0.9830818135571292
2,9,1,10,0.9936631655269903,0.9855244192032631
2,9,2,11,0.9945000931543229,0.985050044205339
2,9,3,12,0.995088042382478,0.9848690778109616
2,9,4,13,0.9958316152335883,0.9859757082161638
2,9,5,14,0.9962039922135517,0.9897143135072128
2,9,6,15,0.9963604391318721,0.9908595944557775
2,9,7,16,0.9942673072156637,0.988453238472898
2,9,8,17,0.9910906641375046,0.9791003854403785
2,9,9,18,0.9912382064292978,0.9660491595847057
3,0,0,3,0.9918992145473635,0.9732337778495188
3,0,1,3,0.9932959948994909,0.9720276704193679
3,0,2,3,0.9924256144179854,0.9700427519573434
3,0,3,3,0.9923063214734519,0.9699275445350974
3,0,4,4,0.9932360180003285,0.9744705551570201
3,0,5,5,0.9953651110196118,0.9757821791852911
3,0,6,6,0.9975755194263449,0.9834470701601568
3,0,7,7,0.9928240504281319,0.9795753842757879
3,0,8,8,0.9936066947197,0.9736139998996579
3,0,9,9,0.9924843977508618,0.9665642028672703
3,1,0,3,0.9923853141209905,0.9738394513580301
3,1,1,3,0.9931893768444818,0.9734402188692307
3,1,2,3,0.9938067712714157,0.9729258501813505
3,1,3,4,0.9934589058397181,0.9692420714971682
3,1,4,5,0.9946364188357832,0.9754691658945298
3,1,5,6,0.9964473065983706,0.9819922424645477
3,1,6,7,0.9972858187064737,0.9832526146450165
3,1,7,8,0.9949850676479836,0.9816407938700916
3,1,8,9,0.9941672438865438,0.973423892670721
3,1,9,10,0.993712061238579,0.9683485912484571
3,2,0,3,0.9931454108540296,0.9696660432028821
3,2,1,3,0.9933162118662177,0.979663048952611
3,2,2,4,0.9942434502682446,0.9751820763069379
3,2,3,5,0.9943612172435252,0.9766694796463651
3,2,4,6,0.9960333736544793,0.9802171077320683
3,2,5,7,0.9976646801508443,0.9847344353102593
3,2,6,8,0.9977831611293525,0.9844424324871075
3,2,7,9,0.9932803430301695,0.9806983079981441
3,2,8,10,0.993532810504451,0.9755121987989215
3,2,9,11,0.9933844554363346,0.9661507388638108
3,3,0,3,0.9936345544167976,0.9737675058374217
3,3,1,4,0.9948994389934381,0.9746831749662672
3,3,2,5,0.9960341337142876,0.9764855194327263
3,3,3,6,0.9967234750462957,0.9824401704459591
3,3,4,7,0.9972985702842838,0.9840018915337945
3,3,5,8,0.9976442924992515,0.9843130254184206
3,3,6,9,0.9971891510881942,0.9809471991621194
3,3,7,10,0.9942086875743976,0.9821624736969526
3,3,8,11,0.9935762305334417,0.977539665870551
3,3,9,12,0.9922691819818421,0.9706314354840093
3,4,0,4,0.9940371987430214,0.9712716367727554
3,4,1,5,0.9950589011065234,0.9754179866471622
3,4,2,6,0.996805780615219,0.9806845867340457
3,4,3,7,0.9976147745402395,0.9811287619941158
3,4,4,8,0.9974893350223257,0.9835426420817543
3,4,5,9,0.9974449624010324,0.9833772913199312
3,4,6,10,0.9979898871083696,0.9860895524334186
3,4,7,11,0.9936413003548396,0.9821277285252173
3,4,8,12,0.993376049959604,0.9782175820592094
3,4,9,13,0.9920284440604589,0.9612295281241593
3,5,0,5,0.996249552038769,0.9785246771315271
3,5,1,6,0.9968813963757037,0.9828023213679118
3,5,2,7,0.9973726493941469,0.9817041564057316
3,5,3,8,0.9972704340061045,0.9819194346931133
3,5,4,9,0.9976173623802332,0.9837241705025658
3,5,5,10,0.9976088586483243,0.985116658979158
3,5,6,11,0.9974082300126369,0.9866049263575454
3,5,7,12,0.9947937889593743,0.9845564190531855
3,5,8,13,0.9912352772260594,0.972904779389747
3,5,9,14,0.9921064066081817,0.9650230976110624
3,6,0,6,0.9968707939123297,0.9837226410136942
3,6,1,7,0.9972072635183507,0.9839998889040774
3,6,2,8,0.9972842807457178,0.9805397146356838
3,6,3,9,0.9972596649540985,0.9822175921973489
3,6,4,10,0.9972634853970018,0.9839909199858303
3,6,5,11,0.9976930253958035,0.9842159034419338
3,6,6,12,0.9974979864579528,0.9846548220689004
3,6,7,13,0.9952076659233621,0.9851073241736906
3,6,8,14,0.9919740909024447,0.9755297835514508
3,6,9,15,0.993333036743141,0.9613680174210375
3,7,0,7,0.9976129410469374,0.9826475364338011
3,7,1,8,0.9973188969845799,0.9825004049511507
3,7,2,9,0.9977764743727167,0.9836542692651399
3,7,3,10,0.9973524329405505,0.9857042126472408
3,7,4,11,0.9980357394140261,0.9864656086124574
3,7,5,12,0.9976358854597451,0.9853404007001013
3,7,6,13,0.9976802845898397,0.9884861047974048
3,7,7,14,0.9932723584412037,0.9868737039764073
3,7,8,15,0.9934452880205679,0.9762032696564273
3,7,9,16,0.9935370945747224,0.9657179983446262
3,8,0,8,0.9979044580697255,0.9844543090139529
3,8,1,9,0.9977835518930949,0.9837917369773669
3,8,2,10,0.9976991042838143,0.987072847877724
3,8,3,11,0.9975049707584369,0.9843433067607366
3,8,4,12,0.9976979938952876,0.9853353598419929
3,8,5,13,0.9978765291683325,0.9863735571605472
3,8,6,14,0.9978049946143341,0.9892170519018881
3,8,7,15,0.9954418924314864,0.9877845041169923
3,8,8,16,0.9933174156227151,0.9750591535220807
3,8,9,17,0.9944177091588481,0.9695930239683879
3,9,0,9,0.9975499091429719,0.9843665765991012
3,9,1,10,0.9976637957610772,0.9849624280350552
3,9,2,11,0.9971424949187109,0.984300312314767
3,9,3,12,0.997641237275051,0.9833676318272854
3,9,4,13,0.9972783498428156,0.9853309424670025
3,9,5,14,0.9978175226269479,0.9911197499282951
3,9,6,15,0.997855485675854,0.9905672000283032
3,9,7,16,0.9939968402939022,0.9870232948926915
3,9,8,17,0.9938952290258514,0.9810473200427389
3,9,9,18,0.9929465968102491,0.9688405491292591
4,0,0,4,0.990963986858889,0.966795454389535
4,0,1,4,0.993105082179619,0.9702934821382074
4,0,2,4,0.9930710113820771,0.9682740788059652
4,0,3,4,0.9930342693375684,0.9755770676903758
4,0,4,4,0.9943256342659939,0.9697619734259684
4,0,5,5,0.996363164891959,0.9762998011574299
4,0,6,6,0.9985616949233644,0.9824151294079438
4,0,7,7,0.9942504537078691,0.9810197813858713
4,0,8,8,0.993577588616623,0.9721070086770631
4,0,9,9,0.9904489855924942,0.9687947312834232
4,1,0,4,0.9922535261251743,0.9707284549474494
4,1,1,4,0.9928830072914793,0.972858256216907
4,1,2,4,0.9940024357069143,0.9725168358984116
4,1,3,4,0.9945198232618336,0.9728388271969663
4,1,4,5,0.9961059449333851,0.9730480073799423
4,1,5,6,0.998826523048562,0.9844602057971099
4,1,6,7,0.9987668823886264,0.9832731511505064
4,1,7,8,0.9949885419931559,0.9814819169326664
4,1,8,9,0.9940535554563562,0.9759228373548605
4,1,9,10,0.9929766068448376,0.9652653746658254
4,2,0,4,0.9938906640384847,0.9681307729148407
4,2,1,4,0.9942803281965104,0.9726226055684961
4,2,2,4,0.9939910741822224,0.9739426320552026
4,2,3,5,0.9960614224529308,0.9749946949139657
4,2,4,6,0.9985080185702209,0.9813596982534882
4,2,5,7,0.9987021791254845,0.9826121805116335
4,2,6,8,0.9989771897588162,0.9852383575183037
4,2,7,9,0.9954194278298045,0.9822578259285317
4,2,8,10,0.992889510218005,0.9731260285416351
4,2,9,11,0.9931775839049115,0.9609807382128032
4,3,0,4,0.9936352570371686,0.9737709679936184
4,3,1,4,0.9957482460134923,0.9782509503517847
4,3,2,5,0.9961198099006842,0.9766340331186708
4,3,3,6,0.9983074411740425,0.979974355064625
4,3,4,7,0.9986401674189617,0.9832752071467921
4,3,5,8,0.9988231023964528,0.9833649863836149
4,3,6,9,0.9989174306329279,0.9819141993122591
4,3,7,10,0.9939445581000549,0.9819178265573332
4,3,8,11,0.9922474553944545,0.9748112411826916
4,3,9,12,0.9928658884274599,0.9619704721844081
4,4,0,4,0.9939418575899837,0.9698698779408004
4,4,1,5,0.9964738125670003,0.9778969398281382
4,4,2,6,0.9987194210215932,0.9837294799448509
4,4,3,7,0.9987389248457056,0.9828661472866453
4,4,4,8,0.9988369496601016,0.981614188831613
4,4,5,9,0.9990662392151649,0.9853718586710926
4,4,6,10,0.9989643097928707,0.9855159952889312
4,4,7,11,0.9952648670538785,0.9839142835723764
4,4,8,12,0.9939683914664257,0.9770387671543985
4,4,9,13,0.9935770810408974,0.9654835491440096
4,5,0,5,0.9960801060399446,0.9790261569668189
4,5,1,6,0.998552732809426,0.9818510550566877
4,5,2,7,0.9986123290805068,0.9803822981402741
4,5,3,8,0.9989789526511305,0.9837640468188754
4,5,4,9,0.998878869134937,0.9827550159373051
4,5,5,10,0.9989053202600465,0.9858004903025773
4,5,6,11,0.9989850246100799,0.9836058339060008
4,5,7,12,0.9954871941051244,0.9844626429077021
4,5,8,13,0.9926031627488111,0.9778892616357918
4,5,9,14,0.9924959235502515,0.9696040608509038
4,6,0,6,0.9985341657144094,0.9828505492541935
4,6,1,7,0.9988709111170531,0.9856665299140219
4,6,2,8,0.998773934039651,0.9810949154530492
4,6,3,9,0.9989623734517178,0.983410665072529
4,6,4,10,0.9989174654091202,0.984230357477816
4,6,5,11,0.9989763993821709,0.9837836446012245
4,6,6,12,0.9989393250970665,0.9849404463485089
4,6,7,13,0.9956754949515023,0.98529716912168
4,6,8,14,0.9934487578286959,0.9768508620965058
4,6,9,15,0.9923677930166132,0.967972431963314
4,7,0,7,0.9986660254578983,0.9837377728172724
4,7,1,8,0.9988885482576843,0.9850441318518651
4,7,2,9,0.9988263746544588,0.9830280513618121
4,7,3,10,0.9989152706319483,0.9851562954292624
4,7,4,11,0.9989863077547607,0.9843264843389385
4,7,5,12,0.9988317346415354,0.9852253749351745
4,7,6,13,0.9989637298517389,0.9876632078237009
4,7,7,14,0.9950496569690364,0.9887223515632568
4,7,8,15,0.9938246737691458,0.9778683716978018
4,7,9,16,0.9934549588540214,0.9661899357473988
4,8,0,8,0.9988052470706532,0.9825670945624991
4,8,1,9,0.9989341714344653,0.9840551410074738
4,8,2,10,0.9989839983656581,0.9868181916283254
4,8,3,11,0.9986920691109505,0.9830702764450301
4,8,4,12,0.9987860469850466,0.9831526157634466
4,8,5,13,0.9989405028987993,0.9854927761018399
4,8,6,14,0.9990453017953178,0.9885627257721935
4,8,7,15,0.9957732882946926,0.9871414995124085
4,8,8,16,0.992296421090459,0.9743449291949557
4,8,9,17,0.9940455628459314,0.9692355997312391
4,9,0,9,0.9990071437587056,0.9831050858179922
4,9,1,10,0.9989674170977493,0.9842626246824813
4,9,2,11,0.9988893382065179,0.9855697655406412
4,9,3,12,0.9988663539301834,0.9838321505081844
4,9,4,13,0.9988893705580069,0.9878831850701632
4,9,5,14,0.9988910618870854,0.9902804622507075
4,9,6,15,0.9991066704135052,0.9909144238781415
4,9,7,16,0.9942857944704596,0.9860090704898697
4,9,8,17,0.9943302215540334,0.977891594818362
4,9,9,18,0.9937288885527179,0.9716759309014781
5,0,0,5,0.9940009798917886,0.9700123778982975
5,0,1,5,0.9921933533629423,0.9700701047473486
5,0,2,5,0.9942560110161351,0.9707510245711366
5,0,3,5,0.9946311380753657,0.9710893839296028
5,0,4,5,0.9948397832186225,0.9698687982195104
5,0,5,5,0.9956160721373494,0.977205083648747
5,0,6,6,0.9990516029604132,0.9814427051325721
5,0,7,7,0.9947613690990316,0.9836843641867798
5,0,8,8,0.9930992017813364,0.9719547329101575
5,0,9,9,0.9939408013282488,0.9714372375520218
5,1,0,5,0.9934267487370865,0.9704752440664266
5,1,1,5,0.9944581309212436,0.9723391646841704
5,1,2,5,0.9942792174688762,0.9696217605250688
5,1,3,5,0.9944233451284867,0.9702359901148493
5,1,4,5,0.9958901583965838,0.9744515867648414
5,1,5,6,0.9991324682783932,0.9842474899550895
5,1,6,7,0.9991760354799939,0.9861623712614409
5,1,7,8,0.9947664862249402,0.98386858032321
5,1,8,9,0.9919912433160991,0.9736886202044931
5,1,9,10,0.9930151657034028,0.9706318519013976
5,2,0,5,0.994423400585369,0.9725091816512895
5,2,1,5,0.9943582203426806,0.9753241519073129
5,2,2,5,0.9956810351000425,0.9730816897889397
5,2,3,5,0.9965187582890429,0.9746376875729957
5,2,4,6,0.9990330356977444,0.9838633222697277
5,2,5,7,0.9991334967012109,0.9853307832494789
5,2,6,8,0.9992753035509248,0.9852651508639488
5,2,7,9,0.9939653631593693,0.9830709244088156
5,2,8,10,0.9928062313852263,0.9744124442310363
5,2,9,11,0.9937099449519481,0.9686029819667182
5,3,0,5,0.994352076139404,0.9750326098457697
5,3,1,5,0.9955597461038945,0.9782428076583822
5,3,2,5,0.996160226345683,0.9764649723551105
5,3,3,6,0.999170433045451,0.9837019187977696
5,3,4,7,0.9991344515739158,0.9866934887122432
5,3,5,8,0.9993294290385373,0.9867553432158109
5,3,6,9,0.9992017394953973,0.9859121805664536
5,3,7,10,0.9953311651355222,0.9857376579345756
5,3,8,11,0.9929683526228483,0.9755764904894542
5,3,9,12,0.9935220557919321,0.9640071954057725
